Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method
4116,Raincoat,180.0,11-02-2023,,Cash
3963,Trench Coat,86.0,16-12-2022,1.5,Cash
4030,Romper,36.0,02-01-2023,2.8,Credit Card
4081,Kimono,44.0,03-06-2023,2.2,Credit Card
3978,Handbag,37.0,17-01-2023,5.0,Cash
3989,Tank Top,49.0,26-04-2023,4.7,Credit Card
4086,Swimsuit,164.0,07-12-2022,1.6,Cash
3976,Tank Top,97.0,23-05-2023,4.4,Cash
4028,Sweater,172.0,15-01-2023,1.1,Credit Card
4021,Backpack,139.0,02-01-2023,4.8,Cash
3990,Pajamas,23.0,01-11-2022,4.2,Credit Card
4028,Poncho,80.0,31-12-2022,1.1,Cash
4022,Boots,43.0,27-08-2023,3.9,Cash
3960,Onesie,77.0,16-12-2022,4.3,Cash
4111,Swimsuit,190.0,23-11-2022,4.4,Credit Card
4001,Handbag,12.0,25-11-2022,2.7,Cash
3995,Umbrella,186.0,27-05-2023,3.9,Cash
4071,Jeans,149.0,09-04-2023,2.4,Cash
4001,Wallet,151.0,09-06-2023,3.9,Cash
4081,Sandals,20.0,02-12-2022,4.1,Cash
4003,Loafers,63.0,10-06-2023,2.3,Credit Card
4092,Overalls,180.0,25-11-2022,2.7,Cash
4044,Pants,114.0,25-12-2022,4.4,Credit Card
3978,Sandals,49.0,31-10-2022,4.5,Cash
3994,Boots,70.0,01-03-2023,,Cash
4109,Loafers,55.0,21-12-2022,1.0,Credit Card
3996,Slippers,16.0,13-08-2023,2.5,Credit Card
4062,Coat,115.0,10-04-2023,1.6,Credit Card
4055,T-shirt,198.0,29-11-2022,3.9,Credit Card
4017,Shorts,78.0,26-02-2023,1.8,Credit Card
4120,Hoodie,107.0,11-07-2023,4.0,Cash
3999,Backpack,130.0,26-04-2023,,Cash
4010,Romper,127.0,24-07-2023,,Credit Card
4104,Pajamas,68.0,12-07-2023,1.8,Cash
4045,Vest,178.0,29-01-2023,2.7,Credit Card
4121,Slippers,27.0,11-04-2023,3.6,Credit Card
4024,Hoodie,81.0,30-12-2022,3.6,Credit Card
3986,Flannel Shirt,140.0,24-11-2022,2.2,Cash
3970,Socks,147.0,07-05-2023,2.2,Credit Card
3999,Belt,17.0,25-07-2023,4.2,Credit Card
4059,Belt,55.0,16-01-2023,1.4,Cash
4078,Sandals,77.0,28-07-2023,4.5,Cash
4078,Blazer,98.0,05-01-2023,2.3,Credit Card
4093,Trench Coat,90.0,17-10-2022,1.5,Cash
4016,Polo Shirt,140.0,02-01-2023,2.3,Cash
4056,Pajamas,58.0,20-07-2023,4.1,Cash
4078,Slippers,191.0,10-07-2023,4.2,Credit Card
4024,Blazer,143.0,09-10-2022,2.6,Credit Card
3994,Camisole,147.0,19-11-2022,2.2,Cash
4092,Tie,199.0,15-02-2023,4.6,Cash
4068,Tunic,60.0,04-01-2023,1.2,Cash
3960,Camisole,27.0,14-09-2023,2.0,Credit Card
4030,Hoodie,94.0,23-04-2023,2.6,Credit Card
4071,Skirt,179.0,16-02-2023,2.6,Credit Card
4054,Handbag,194.0,12-06-2023,2.1,Credit Card
4037,Sunglasses,139.0,10-11-2022,2.4,Cash
4092,Jumpsuit,114.0,02-11-2022,2.2,Credit Card
3967,Raincoat,188.0,06-05-2023,3.3,Cash
3981,Pants,42.0,08-07-2023,1.8,Credit Card
4120,Poncho,107.0,07-11-2022,2.3,Cash
4047,Scarf,54.0,20-05-2023,1.1,Credit Card
4067,Poncho,87.0,27-05-2023,4.2,Credit Card
4113,Vest,10.0,11-10-2022,,Credit Card
4026,Tank Top,63.0,20-01-2023,4.6,Cash
4042,Blazer,158.0,12-11-2022,3.2,Cash
4026,T-shirt,92.0,24-04-2023,3.1,Credit Card
4025,Coat,123.0,09-01-2023,1.8,Cash
3982,Kimono,140.0,18-05-2023,3.1,Credit Card
4022,T-shirt,198.0,22-10-2022,1.9,Cash
4075,Jumpsuit,172.0,07-10-2022,4.8,Credit Card
4018,Tank Top,33.0,18-10-2022,,Credit Card
4107,Tie,70.0,28-02-2023,,Cash
4006,Flannel Shirt,67.0,27-07-2023,1.4,Cash
4090,Tie,47.0,11-01-2023,2.9,Cash
4003,Cardigan,131.0,04-01-2023,4.1,Credit Card
4037,Camisole,28.0,01-05-2023,2.1,Cash
4097,Belt,171.0,24-05-2023,4.1,Cash
3959,Coat,193.0,03-01-2023,1.5,Credit Card
3959,Hat,136.0,08-02-2023,2.1,Credit Card
3974,Swimsuit,47.0,22-02-2023,,Credit Card
3960,Hat,11.0,12-04-2023,,Credit Card
4062,Romper,37.0,24-07-2023,4.0,Cash
3982,Blouse,66.0,24-01-2023,1.1,Cash
3983,Kimono,142.0,15-05-2023,3.9,Credit Card
4071,Hat,152.0,22-12-2022,1.8,Credit Card
4046,Trench Coat,41.0,17-07-2023,2.2,Credit Card
4013,Shorts,128.0,21-02-2023,3.0,Cash
4029,Bowtie,153.0,17-05-2023,,Credit Card
4021,Sunglasses,123.0,11-05-2023,1.8,Cash
4006,Scarf,194.0,02-02-2023,3.6,Cash
3965,Hat,119.0,13-07-2023,2.2,Cash
3963,Socks,150.0,04-10-2022,,Credit Card
4115,Sweater,50.0,05-07-2023,3.2,Cash
3980,Poncho,131.0,23-01-2023,4.6,Credit Card
3971,Hat,73.0,17-07-2023,2.0,Credit Card
4109,Tunic,80.0,18-10-2022,,Credit Card
4012,Socks,143.0,23-04-2023,2.6,Cash
4110,Sandals,71.0,17-03-2023,3.2,Cash
4120,Tie,29.0,12-02-2023,1.9,Credit Card
3988,Bowtie,70.0,02-11-2022,2.6,Credit Card
3987,Handbag,91.0,21-12-2022,2.5,Cash
3979,Flip-Flops,30.0,30-03-2023,3.6,Cash
3990,Handbag,187.0,11-08-2023,1.4,Credit Card
4122,Hoodie,116.0,17-03-2023,2.0,Cash
4101,Cardigan,148.0,26-11-2022,3.5,Credit Card
4004,Hoodie,25.0,24-09-2023,3.9,Credit Card
3985,Pajamas,117.0,07-08-2023,1.9,Cash
4004,Shorts,159.0,22-01-2023,2.0,Cash
4021,Sneakers,15.0,07-08-2023,2.4,Credit Card
4032,Jacket,157.0,25-01-2023,2.3,Credit Card
4076,Trousers,11.0,06-12-2022,2.6,Credit Card
3976,Jeans,86.0,26-05-2023,,Cash
4120,Slippers,117.0,25-09-2023,4.0,Credit Card
4073,Boots,198.0,21-12-2022,3.2,Cash
4027,Onesie,164.0,11-06-2023,3.6,Cash
4066,Kimono,134.0,02-01-2023,3.8,Credit Card
4039,Umbrella,121.0,05-07-2023,4.4,Cash
4022,Tunic,109.0,15-11-2022,1.3,Credit Card
3998,Skirt,183.0,22-12-2022,3.8,Credit Card
3975,T-shirt,195.0,22-07-2023,4.0,Cash
3972,Sneakers,42.0,18-04-2023,2.8,Credit Card
4054,Tunic,146.0,23-01-2023,1.2,Credit Card
4042,Wallet,154.0,31-08-2023,2.9,Credit Card
3972,Slippers,31.0,26-10-2022,3.2,Credit Card
4023,Dress,44.0,03-03-2023,2.2,Cash
4024,Skirt,56.0,17-07-2023,2.2,Credit Card
4069,Flannel Shirt,64.0,01-11-2022,3.5,Cash
3974,T-shirt,96.0,05-12-2022,3.6,Credit Card
4082,Pajamas,107.0,10-05-2023,3.1,Cash
4008,Loafers,117.0,04-05-2023,3.5,Credit Card
4113,Flannel Shirt,30.0,21-05-2023,3.1,Credit Card
4057,Tunic,148.0,22-04-2023,2.9,Cash
4122,Kimono,67.0,20-03-2023,4.4,Cash
4082,Onesie,176.0,28-12-2022,3.1,Credit Card
4095,Loafers,15.0,12-07-2023,,Credit Card
4067,Belt,71.0,27-08-2023,2.2,Credit Card
4114,Swimsuit,154.0,02-04-2023,2.3,Credit Card
4121,Umbrella,129.0,15-01-2023,,Cash
3984,Trousers,104.0,30-07-2023,1.6,Cash
4023,Boots,193.0,14-02-2023,3.5,Credit Card
3965,Wallet,89.0,18-08-2023,4.5,Cash
4103,Flip-Flops,183.0,13-10-2022,3.2,Cash
4021,Sweater,106.0,21-05-2023,1.3,Cash
4071,Raincoat,193.0,02-10-2022,3.9,Credit Card
4084,Skirt,170.0,08-07-2023,4.2,Cash
3995,T-shirt,188.0,12-05-2023,4.1,Cash
4120,Overalls,185.0,05-03-2023,4.1,Credit Card
3957,Tank Top,40.0,03-10-2022,2.1,Cash
3966,Vest,154.0,04-05-2023,4.5,Cash
4056,Camisole,98.0,12-06-2023,2.9,Credit Card
4025,Blouse,179.0,06-04-2023,4.1,Cash
3995,Jeans,139.0,01-05-2023,1.4,Cash
4041,Loafers,13.0,13-10-2022,1.6,Cash
4057,Shorts,135.0,27-12-2022,4.5,Credit Card
3957,Sneakers,172.0,08-07-2023,,Credit Card
4088,Tank Top,127.0,07-10-2022,2.8,Credit Card
4082,Tunic,121.0,07-09-2023,2.3,Cash
4068,Swimsuit,176.0,18-07-2023,2.5,Cash
4060,Bowtie,147.0,28-12-2022,2.9,Credit Card
3974,Flip-Flops,129.0,02-08-2023,3.1,Credit Card
4095,Umbrella,197.0,25-10-2022,4.5,Credit Card
4014,Wallet,92.0,25-12-2022,4.8,Credit Card
3957,Onesie,32.0,05-01-2023,4.3,Cash
4055,Trench Coat,125.0,10-11-2022,4.4,Cash
4080,Tie,128.0,10-04-2023,3.0,Credit Card
3988,Wallet,181.0,04-03-2023,3.7,Credit Card
4102,Socks,17.0,31-01-2023,2.7,Cash
4094,T-shirt,93.0,15-08-2023,1.1,Cash
4042,Leggings,76.0,22-02-2023,3.9,Credit Card
4034,Jeans,162.0,11-02-2023,3.2,Credit Card
4059,Handbag,80.0,06-07-2023,4.8,Cash
3971,Swimsuit,142.0,22-07-2023,1.7,Cash
4118,Dress,31.0,19-10-2022,1.0,Credit Card
4122,Poncho,114.0,28-07-2023,3.1,Cash
3980,Leggings,71.0,25-01-2023,,Cash
4050,Umbrella,175.0,29-12-2022,1.4,Cash
4093,Bowtie,124.0,21-12-2022,2.0,Credit Card
4044,Gloves,33.0,29-03-2023,3.4,Cash
3977,Loafers,113.0,08-01-2023,,Credit Card
4074,Kimono,88.0,05-02-2023,2.9,Cash
4031,Vest,104.0,15-01-2023,,Credit Card
4122,Poncho,145.0,29-12-2022,2.0,Cash
4008,Flip-Flops,200.0,05-10-2022,4.9,Cash
4002,Hoodie,100.0,26-12-2022,4.5,Cash
4098,Raincoat,79.0,04-02-2023,5.0,Credit Card
3967,Belt,69.0,03-04-2023,3.0,Cash
4056,Skirt,186.0,11-04-2023,,Cash
4118,Pajamas,133.0,20-03-2023,4.5,Credit Card
4048,Cardigan,160.0,27-03-2023,2.7,Cash
4081,Loafers,144.0,01-11-2022,1.2,Credit Card
3978,Socks,35.0,29-11-2022,1.2,Cash
4118,Romper,85.0,14-08-2023,,Credit Card
4069,Pants,55.0,25-01-2023,4.9,Cash
4005,Flannel Shirt,191.0,23-03-2023,3.5,Cash
3992,Sunglasses,80.0,24-02-2023,,Cash
3963,Dress,42.0,19-10-2022,3.3,Cash
4108,Blouse,135.0,25-01-2023,3.1,Cash
4056,Blazer,132.0,17-06-2023,,Cash
3973,Umbrella,57.0,12-07-2023,3.0,Cash
4095,Sun Hat,74.0,15-07-2023,1.3,Credit Card
4121,Overalls,132.0,24-02-2023,2.1,Cash
4093,Shorts,157.0,17-08-2023,1.0,Cash
4072,Onesie,23.0,09-01-2023,2.4,Cash
3966,Polo Shirt,87.0,08-01-2023,3.3,Cash
3971,Boots,152.0,01-03-2023,,Credit Card
4043,Scarf,165.0,05-02-2023,1.7,Credit Card
3967,Coat,168.0,21-04-2023,4.9,Credit Card
4060,Tunic,143.0,24-12-2022,4.2,Credit Card
3987,Wallet,123.0,01-08-2023,2.5,Credit Card
4011,Tank Top,160.0,08-05-2023,,Cash
4090,Hoodie,88.0,08-12-2022,2.0,Cash
4074,Skirt,25.0,05-10-2022,3.6,Credit Card
4094,Belt,199.0,04-07-2023,1.8,Credit Card
4105,Jeans,170.0,28-03-2023,,Cash
4016,Coat,179.0,17-07-2023,1.7,Credit Card
3966,Pajamas,151.0,28-08-2023,1.8,Credit Card
3961,Gloves,162.0,05-12-2022,3.0,Credit Card
4077,Camisole,18.0,16-02-2023,2.4,Cash
4115,Sandals,190.0,17-02-2023,2.8,Cash
3968,Wallet,126.0,17-11-2022,4.3,Credit Card
3990,Wallet,77.0,25-07-2023,2.5,Credit Card
3960,Shorts,170.0,31-10-2022,1.8,Cash
4001,Wallet,60.0,17-05-2023,2.4,Cash
4118,Blouse,149.0,21-03-2023,4.2,Cash
3969,Polo Shirt,48.0,04-08-2023,3.8,Cash
4035,Handbag,46.0,21-04-2023,4.3,Credit Card
4113,Hoodie,155.0,05-08-2023,1.1,Credit Card
4000,Tank Top,122.0,12-08-2023,3.6,Cash
3973,Gloves,189.0,30-10-2022,2.5,Credit Card
3984,Sunglasses,79.0,01-12-2022,3.4,Cash
3986,Jumpsuit,136.0,14-12-2022,,Cash
4084,Loafers,163.0,03-02-2023,3.5,Credit Card
4114,Backpack,92.0,25-04-2023,2.3,Credit Card
4013,Trousers,16.0,11-01-2023,1.4,Credit Card
4008,Romper,157.0,05-06-2023,1.7,Credit Card
4066,Poncho,15.0,25-05-2023,,Cash
4043,Poncho,182.0,09-03-2023,2.8,Cash
4059,Camisole,157.0,30-07-2023,2.7,Cash
3987,Backpack,130.0,21-02-2023,2.5,Credit Card
4104,Backpack,123.0,22-12-2022,3.7,Credit Card
4096,Sun Hat,56.0,04-11-2022,4.9,Cash
3992,Belt,121.0,09-10-2022,4.1,Credit Card
4039,Gloves,135.0,16-04-2023,3.0,Credit Card
4011,Gloves,130.0,03-01-2023,4.1,Cash
3968,Sandals,95.0,02-08-2023,2.6,Credit Card
4108,Shorts,36.0,16-02-2023,,Cash
4001,Cardigan,94.0,26-08-2023,4.7,Credit Card
4042,Hoodie,136.0,18-11-2022,4.9,Credit Card
3973,Shorts,112.0,18-07-2023,1.8,Cash
3987,Hoodie,150.0,14-01-2023,4.0,Cash
4063,Slippers,39.0,16-08-2023,4.1,Credit Card
4000,Socks,113.0,21-11-2022,2.8,Cash
4051,Poncho,10.0,29-07-2023,1.0,Cash
4098,Shorts,148.0,08-12-2022,4.5,Credit Card
3999,Sunglasses,23.0,02-01-2023,1.3,Cash
4019,Blouse,137.0,18-05-2023,,Cash
4105,Leggings,23.0,09-11-2022,3.7,Credit Card
3967,Pajamas,150.0,26-09-2023,2.5,Credit Card
3982,Poncho,188.0,22-11-2022,3.7,Credit Card
4118,T-shirt,17.0,05-06-2023,4.7,Cash
4113,Blazer,165.0,10-04-2023,4.3,Cash
4053,Sweater,191.0,28-01-2023,4.1,Credit Card
3961,Polo Shirt,151.0,06-12-2022,4.1,Credit Card
4081,Socks,67.0,06-05-2023,4.1,Credit Card
3977,Pajamas,39.0,19-02-2023,4.3,Credit Card
3958,Belt,40.0,01-06-2023,2.7,Cash
3958,Leggings,49.0,14-03-2023,1.3,Cash
4002,Jumpsuit,193.0,18-12-2022,4.0,Credit Card
3979,Swimsuit,190.0,08-09-2023,1.9,Cash
4108,Umbrella,133.0,19-06-2023,4.1,Credit Card
4029,Blouse,72.0,20-08-2023,2.4,Credit Card
4063,Flannel Shirt,47.0,24-04-2023,3.4,Credit Card
4078,Wallet,163.0,07-02-2023,4.7,Credit Card
3989,Loafers,44.0,16-04-2023,1.6,Cash
4009,Slippers,80.0,23-11-2022,1.8,Cash
3993,Gloves,116.0,13-12-2022,2.4,Credit Card
4120,Skirt,139.0,26-09-2023,2.7,Credit Card
4026,Vest,10.0,15-10-2022,2.5,Credit Card
4090,T-shirt,86.0,15-08-2023,1.1,Cash
4072,Polo Shirt,158.0,07-05-2023,2.7,Credit Card
4062,Overalls,135.0,02-12-2022,3.7,Cash
4018,Leggings,124.0,19-05-2023,2.9,Credit Card
4001,Pants,98.0,27-01-2023,,Credit Card
4113,Cardigan,149.0,15-10-2022,1.4,Cash
3966,Gloves,92.0,04-10-2022,4.2,Credit Card
4109,Kimono,188.0,21-07-2023,,Credit Card
4003,Umbrella,108.0,01-08-2023,3.3,Cash
4084,Overalls,115.0,22-12-2022,2.8,Credit Card
3979,Loafers,190.0,01-07-2023,4.1,Cash
4117,Cardigan,107.0,16-02-2023,2.0,Credit Card
4034,Pants,179.0,12-03-2023,3.4,Cash
4046,Poncho,176.0,11-12-2022,2.8,Cash
4064,Wallet,136.0,17-02-2023,2.9,Credit Card
3958,Tank Top,42.0,02-11-2022,3.1,Credit Card
4099,Dress,161.0,07-01-2023,4.1,Cash
4017,Loafers,35.0,26-12-2022,3.1,Cash
4006,Leggings,122.0,28-09-2023,3.7,Credit Card
4092,Trench Coat,13.0,03-11-2022,3.4,Credit Card
3981,Tank Top,114.0,01-04-2023,4.3,Cash
4115,Shorts,49.0,20-09-2023,2.8,Cash
4095,Romper,77.0,20-03-2023,1.5,Credit Card
4086,Sunglasses,187.0,01-04-2023,2.5,Cash
4013,Onesie,30.0,07-10-2022,3.7,Cash
4075,Handbag,182.0,13-03-2023,2.3,Credit Card
4117,Scarf,107.0,19-11-2022,4.3,Credit Card
4010,Kimono,170.0,17-02-2023,1.7,Cash
4027,Cardigan,134.0,17-01-2023,1.1,Cash
3970,Romper,19.0,12-12-2022,3.5,Cash
4006,Pajamas,70.0,22-11-2022,2.4,Cash
3985,Sweater,83.0,26-07-2023,,Credit Card
3995,Trousers,33.0,25-08-2023,2.0,Credit Card
4078,Pants,35.0,24-11-2022,,Cash
4084,Romper,190.0,04-03-2023,,Cash
4002,Scarf,123.0,31-01-2023,3.5,Credit Card
3968,Gloves,17.0,27-10-2022,3.8,Credit Card
4122,Poncho,85.0,16-05-2023,3.9,Cash
4050,Sweater,120.0,07-06-2023,2.8,Cash
4010,Hat,154.0,26-05-2023,1.6,Credit Card
4068,Kimono,56.0,24-08-2023,3.6,Credit Card
4114,Blazer,168.0,28-05-2023,4.0,Cash
4073,Wallet,137.0,07-08-2023,1.1,Cash
3968,Coat,46.0,05-12-2022,2.0,Credit Card
3983,Jeans,173.0,11-04-2023,4.5,Cash
